	0.1117
ナゴヤドーム	0.0595
嵐英雄	0.0507
応援歌	0.0457
公式応援歌	0.0457
こと	0.0401
するいる	0.0368
燃えるドラゴンズ	0.0343
7回裏	0.0343
曲	0.0335
これ	0.0335
英雄	0.0276
昨今	0.0276
嵐	0.0276
作るれる	0.0276
不評編集	0.0276
不明	0.0276
ファン間	0.0276
ほとんどなくなる	0.0276
この曲	0.0276
歌	0.0223
なる	0.0223
この	0.0223
誕生編集中日	0.0200
認めるいる	0.0200
著名	0.0200
英雄知る	0.0200
英雄あらし	0.0200
聞く機会	0.0200
編曲矢田部正	0.0200
経緯生まれる	0.0200
知るファン	0.0200
盛り上がる時間	0.0200
盛り上がる	0.0200
甲子園	0.0200
生まれる曲	0.0200
理由いくつ	0.0200
理由	0.0200
球団	0.0200
演奏機会	0.0200
演奏するれる	0.0200
流す続ける	0.0200
毎年オーダー	0.0200
歌詞古臭い	0.0200
機会少ない	0.0200
新しい応援歌	0.0200
必要する	0.0200
徹底する	0.0200
小林亜星	0.0200
定着する	0.0200
完成受ける	0.0200
多数占める	0.0200
変わる曲	0.0200
受ける中日	0.0200
占めるいる	0.0200
作詞井丸糺	0.0200
以降	0.0200
代わるれること	0.0200
中日それ	0.0200
中日	0.0200
ラッキーセブン攻撃前	0.0200
プロ野球セントラル	0.0200
フランチャイズ移す	0.0200
ファン最高	0.0200
ファン多数	0.0200
ファン他	0.0200
ナゴヤ球場	0.0200
ナゴヤ	0.0200
ドラゴンズ応援歌	0.0200
カップリングショー	0.0200
オーダー歌詞	0.0200
ウィキペディアWikipedia	0.0200
もともと燃えるドラゴンズ	0.0200
のどう	0.0200
ためファン	0.0200
それ本拠地	0.0200
その経緯	0.0200
その後毎年	0.0200
その後	0.0200
これ伴う	0.0200
この応援歌	0.0200
こと歌詞	0.0200
ことなる	0.0200
いる盛り上がる	0.0200
いるため	0.0200
DragonsForever	0.0200
CD発売する	0.0200
2002年	0.0200
1997年	0.0200
いる	0.0190
発売するれる	0.0152
風船はじめ	0.0112
項目編集中日ドラゴンズ	0.0112
関連項目編集中日	0.0112
関連項目編集	0.0112
関連項目	0.0112
間定着する	0.0112
間定着	0.0112
間ほとんど	0.0112
間	0.0112
開場後5年	0.0112
野球セントラルリーグ	0.0112
過ぎる監督	0.0112
過ぎる	0.0112
送るれるくる	0.0112
送るれる	0.0112
起用するボニー	0.0112
起用する	0.0112
談笑するする	0.0112
談笑する	0.0112
認める	0.0112
言うラジオ番組	0.0112
言うラジオ	0.0112
言う	0.0112
裏攻撃前	0.0112
裏ラッキーセブン攻撃	0.0112
英雄聞く	0.0112
英雄出典フリー百科	0.0112
英雄出典フリー	0.0112
聞く機会中日	0.0112
編集中日応援	0.0112
編集中日ドラゴンズ燃える	0.0112
続ける	0.0112
経緯の	0.0112
経緯	0.0112
糺なかにし礼	0.0112
移動ナビゲーション検索嵐	0.0112
移動ナビゲーション検索	0.0112
移動ナビゲーション	0.0112
移動する談笑	0.0112
移動する	0.0112
移すこれ	0.0112
移す	0.0112
礼楽曲小林	0.0112
礼作曲小林	0.0112
矢田部正起用	0.0112
監督山田久志	0.0112
監督山田	0.0112
監督	0.0112
百科事典ウィキペディア	0.0112
発売する	0.0112
番組送るれる	0.0112
甲子園ジェット風船	0.0112
甲子園ジェット	0.0112
球場ナゴヤドーム	0.0112
球団公式応援	0.0112
球団公式	0.0112
球団ファン	0.0112
父子歌う	0.0112
燃えるドラゴンズ著名	0.0112
燃えるドラゴンズ応援歌	0.0112
燃えるドラゴンズ取る	0.0112
燃えるドラゴンズある	0.0112
演奏	0.0112
正起用する	0.0112
歌認める	0.0112
歌詞変わる曲	0.0112
歌詞変わる	0.0112
歌燃える	0.0112
歌流す続ける	0.0112
歌必要	0.0112
歌作ること	0.0112
歌中日ドラゴンズドラゴンズ	0.0112
歌ファン	0.0112
歌うナゴヤ	0.0112
